Model,Trial,CV_Mean,Best_Score_So_Far,Trial_Runtime_Sec
AdaBoost,1,0.9129166666666666,0.9129166666666666,58.33583270001691
AdaBoost,2,0.8474166666666667,0.9129166666666666,77.30904069996905
AdaBoost,3,0.8461666666666667,0.9129166666666666,86.00364720000653
AdaBoost,4,0.8406041666666667,0.9129166666666666,27.34015249996446
AdaBoost,5,0.8687083333333334,0.9129166666666666,31.93671959999483
AdaBoost,6,0.8604375000000001,0.9129166666666666,37.99807410000358
AdaBoost,7,0.8556250000000001,0.9129166666666666,47.6993062000256
AdaBoost,8,0.872875,0.9129166666666666,22.003869299951475
AdaBoost,9,0.9495208333333334,0.9495208333333334,73.51445379998768
AdaBoost,10,0.9009166666666666,0.9495208333333334,42.40559029998258
AdaBoost,11,0.9438958333333332,0.9495208333333334,62.4796548000304
AdaBoost,12,0.9440833333333334,0.9495208333333334,64.8322032999713
AdaBoost,13,0.9499166666666667,0.9499166666666667,65.3948059999966
AdaBoost,14,0.9276041666666666,0.9499166666666667,67.24712329998147
AdaBoost,15,0.933,0.9499166666666667,89.43324670003494
AdaBoost,16,0.8890416666666667,0.9499166666666667,58.868858699977864
AdaBoost,17,0.9311875000000001,0.9499166666666667,74.6568380999961
AdaBoost,18,0.8758541666666668,0.9499166666666667,59.146381600003224
AdaBoost,19,0.9357083333333331,0.9499166666666667,71.9009323999635
AdaBoost,20,0.9205833333333334,0.9499166666666667,79.45531930000288
AdaBoost,21,0.9025833333333333,0.9499166666666667,11.154093299992383
AdaBoost,22,0.9021458333333333,0.9499166666666667,64.97434529999737
AdaBoost,23,0.9417500000000001,0.9499166666666667,67.74017810000805
AdaBoost,24,0.7910416666666666,0.9499166666666667,66.95721029996639
AdaBoost,25,0.9153541666666666,0.9499166666666667,50.96352950000437
AdaBoost,26,0.9065416666666668,0.9499166666666667,58.76357760000974
AdaBoost,27,0.9446666666666665,0.9499166666666667,78.68134389998158
AdaBoost,28,0.9277708333333333,0.9499166666666667,79.92784269998083
AdaBoost,29,0.9381875,0.9499166666666667,71.33116100000916
AdaBoost,30,0.9173333333333333,0.9499166666666667,81.82349989999784
AdaBoost,31,0.8810208333333334,0.9499166666666667,57.694714899989776
AdaBoost,32,0.9439583333333333,0.9499166666666667,62.112001699977554
AdaBoost,33,0.9470416666666667,0.9499166666666667,69.90605269995285
AdaBoost,34,0.922875,0.9499166666666667,78.59222669998417
AdaBoost,35,0.9383125,0.9499166666666667,77.3146345000132
AdaBoost,36,0.9481666666666667,0.9499166666666667,83.62965740001528
AdaBoost,37,0.9496458333333333,0.9499166666666667,82.03862449998269
AdaBoost,38,0.9204583333333334,0.9499166666666667,82.8710388999898
AdaBoost,39,0.8523333333333334,0.9499166666666667,85.03081189998193
AdaBoost,40,0.9348333333333333,0.9499166666666667,75.18723649997264
AdaBoost,41,0.8650208333333333,0.9499166666666667,43.662390399957076
AdaBoost,42,0.9501249999999999,0.9501249999999999,85.9969918000279
AdaBoost,43,0.9493125000000001,0.9501249999999999,79.5579780000262
AdaBoost,44,0.9490833333333335,0.9501249999999999,73.9079448999837
AdaBoost,45,0.9252708333333333,0.9501249999999999,79.94546819996322
AdaBoost,46,0.9502916666666665,0.9502916666666665,88.19461720000254
AdaBoost,47,0.9227916666666667,0.9502916666666665,35.734033399960026
AdaBoost,48,0.9132916666666666,0.9502916666666665,65.20699299999978
AdaBoost,49,0.9065208333333332,0.9502916666666665,75.92818520002766
AdaBoost,50,0.9489791666666667,0.9502916666666665,71.87502040003892
CB,1,0.9837291666666665,0.9837291666666665,23.801471099985065
CB,2,0.9879583333333333,0.9879583333333333,19.56222140000318
CB,3,0.9624375000000001,0.9879583333333333,2.820084900013171
CB,4,0.9711875000000001,0.9879583333333333,3.7827854999923147
