Feature,Mean_Absolute_SHAP,Rank
tau4_g4,6.837216491632631,1
tau3_g3,6.824083910839939,2
tau2_g2,6.771101388431196,3
tau1_g1,5.242011886989669,4
tau3,4.269634874510341,5
tau2,4.151707917243178,6
tau4,4.143781038026783,7
g_sum,3.7283994004827923,8
tau1,3.7114980135645887,9
tau_mean,3.5705632659566313,10
g1,1.5086472212747555,11
g_tau_ratio,0.7430202910322451,12
p1,0.4726072049218684,13
