Method,Model,Test_Accuracy,Test_AUC,LogLoss,Evaluations,Unique_Config_Evaluations,Search_Sec,Search_ms_per_Eval,Search_ms_per_Unique_Eval,Single_Sample_Latency_ms,Full_Test_Batch_Sec,Batch_Amortized_us_per_Sample,Throughput_rows_per_sec,n_estimators,num_leaves,max_depth,Hyperparam_Dim,Theoretical_Complexity,Accuracy_per_Search_Hour,Deployment_Score
TPE,LGBM,0.9995,0.9999972637885812,0.0021553562700576,50,50.0,2572.02197500004,51440.4395000008,51440.4395000008,4.437599999619124,0.1699177000000418,14.159808333336818,70622.42485625128,361,41,15,9,O(T*C_eval + T log T),1.3989771607608228,0.22523436093514207
GWO,LGBM,0.999,0.999996121194802,0.0027360925547528,50,,1069.5944657000364,21391.889314000728,,2.922350000062579,0.22485799999958545,18.73816666663212,53367.013848838484,500,41,14,10,O(P*I*C_eval + P*I*d),3.3623958568691736,0.3418481701297269
