Comparison,N_Models,Models_Used,Skipped_Models,Mean_Delta_Acc,Median_Delta_Acc,Wins_Left_Better,Losses_Left_Worse,Ties,Wilcoxon_p,Paired_t_p,Adj_p_Holm,Significant_0_05
Baseline vs TPE,14,AdaBoost;CB;GB;KNN;LDA;LGBM;LR;LinearSVC;NB;QDA;RF;SGD;SVM;XGB,,-0.020500000000000074,-0.01208333333333339,1,11,2,0.0028734139278525227,0.006628251055081711,0.008620241783557568,True
Baseline vs GWO,11,AdaBoost;CB;KNN;LDA;LGBM;LR;LinearSVC;NB;QDA;SGD;XGB,GB;RF;SVM,-0.016469696969696992,-0.005749999999999922,0,9,2,0.00390625,0.018899674596730975,0.008620241783557568,True
TPE vs GWO,11,AdaBoost;CB;KNN;LDA;LGBM;LR;LinearSVC;NB;QDA;SGD;XGB,GB;RF;SVM,0.0009015151515152138,0.0,4,4,3,0.84375,0.39766860907790713,0.84375,False
