Feature,Mean_Absolute_SHAP,Rank
tau4_g4,6.860330649683552,1
tau2_g2,6.82416315689824,2
tau3_g3,6.670815931644447,3
tau1_g1,5.586446370271115,4
tau3,4.403278337597901,5
tau4,4.365384286522376,6
tau2,4.291005393684261,7
g_sum,3.9685887786339196,8
tau1,3.8752000758934138,9
tau_mean,3.714721879830647,10
g1,1.5000422575335226,11
g_tau_ratio,0.6574654780219689,12
p1,0.45837242810585116,13
