Comparison,Description,Mean_Delta_Acc,CI_Lower,CI_Upper,Significant_95pct
B_vs_A,Feature engineering effect (Default HPO),0.014074,0.010749999999999926,0.01749999999999996,True
D_vs_A,Full pipeline effect (Selected+TPE vs Raw+Default),0.03917083333333334,0.03583333333333327,0.042668749999999964,True
E_vs_A,Full pipeline effect (Selected+GWO vs Raw+Default),0.038672000000000005,0.03533333333333333,0.042166666666666686,True
F_vs_B,HPO effect on Engineered: TPE vs Default,0.02436175000000001,0.021664583333333282,0.027249999999999996,True
G_vs_B,HPO effect on Engineered: GWO vs Default,0.02459941666666667,0.021833333333333368,0.027583333333333297,True
D_vs_F,Feature selection effect at TPE (Selected vs Engineered),0.0007350833333333359,0.0001666666666666483,0.0013333333333334085,True
E_vs_G,Feature selection effect at GWO (Selected vs Engineered),-1.4166666666646233e-06,-0.0004999999999999478,0.0004999999999999478,False
D_vs_E,TPE vs GWO on Selected features,0.000498833333333341,8.333333333332416e-05,0.0010000000000000009,True
