Model,Trial,CV_Mean,Best_Score_So_Far,Trial_Runtime_Sec
LGBM,1,0.9914791666666666,0.9914791666666666,1375.1081433999934
LGBM,2,0.9578541666666668,0.9914791666666666,51.38023680000333
LGBM,3,0.9611041666666666,0.9914791666666666,10.438175999966916
LGBM,4,0.9558541666666668,0.9914791666666666,4.676072899950668
LGBM,5,0.93225,0.9914791666666666,10.678451400017366
LGBM,6,0.9780208333333336,0.9914791666666666,26.94386840000516
LGBM,7,0.9926458333333332,0.9926458333333332,6.293340000032913
LGBM,8,0.9560625,0.9926458333333332,9.268697599996813
LGBM,9,0.9792708333333332,0.9926458333333332,5.437052700028289
LGBM,10,0.9291458333333332,0.9926458333333332,6.320297700003721
LGBM,11,0.9930416666666668,0.9930416666666668,12.629216600034852
LGBM,12,0.99375,0.99375,13.026551600021776
LGBM,13,0.9922083333333334,0.99375,11.673400900035633
LGBM,14,0.9927708333333334,0.99375,12.938919200038072
LGBM,15,0.99375,0.99375,24.678804900031537
LGBM,16,0.992,0.99375,28.908947199990507
LGBM,17,0.98525,0.99375,12.461612699960824
LGBM,18,0.9950208333333332,0.9950208333333332,31.211028199992143
LGBM,19,0.9666875,0.9950208333333332,8.152053300000262
LGBM,20,0.9951666666666668,0.9951666666666668,23.95345620001899
LGBM,21,0.9942083333333332,0.9951666666666668,37.67377759999363
LGBM,22,0.9945833333333332,0.9951666666666668,38.64576779998606
LGBM,23,0.9945208333333332,0.9951666666666668,56.37704330001725
LGBM,24,0.9952083333333333,0.9952083333333333,31.82328170002438
LGBM,25,0.9965625,0.9965625,24.89107139996485
LGBM,26,0.9963333333333332,0.9965625,22.18159439996816
LGBM,27,0.9966666666666668,0.9966666666666668,19.517818099993747
LGBM,28,0.9964375,0.9966666666666668,13.722129700006915
LGBM,29,0.9893541666666668,0.9966666666666668,11.420671800035052
LGBM,30,0.9656041666666668,0.9966666666666668,7.229881700011902
LGBM,31,0.9680208333333332,0.9966666666666668,2.331075599999167
LGBM,32,0.996125,0.9966666666666668,30.01876049995189
LGBM,33,0.9966041666666668,0.9966666666666668,86.17108930001268
LGBM,34,0.997625,0.997625,36.019754000008106
LGBM,35,0.9976875,0.9976875,32.77601590001723
LGBM,36,0.9952708333333332,0.9976875,35.50466279999819
LGBM,37,0.9956875,0.9976875,20.16661499999464
LGBM,38,0.9962916666666668,0.9976875,38.942571499967016
LGBM,39,0.9612708333333334,0.9976875,36.708952000015415
LGBM,40,0.997125,0.9976875,24.13975460000802
LGBM,41,0.9940833333333334,0.9976875,16.88986609998392
LGBM,42,0.9973125,0.9976875,47.98900679999497
LGBM,43,0.9970833333333332,0.9976875,44.77358269999968
LGBM,44,0.9967083333333332,0.9976875,47.16057930001989
LGBM,45,0.9252916666666666,0.9976875,14.521617899998091
LGBM,46,0.996125,0.9976875,16.0059031000128
LGBM,47,0.9956666666666668,0.9976875,26.0580934000318
LGBM,48,0.99525,0.9976875,22.65420669998275
LGBM,49,0.9946666666666666,0.9976875,34.381901199987624
LGBM,50,0.9940625,0.9976875,9.07190380000975
LDA,1,0.8953125,0.8953125,2.734593099972699
LDA,2,0.8953125,0.8953125,2.494715399981942
LDA,3,0.8953125,0.8953125,2.4954366000019945
LDA,4,0.8953125,0.8953125,2.377044400025625
LDA,5,0.8953125,0.8953125,2.2805557000101544
LDA,6,0.8953125,0.8953125,2.4708677000016905
LDA,7,0.8953125,0.8953125,2.200755500001833
LDA,8,0.8953125,0.8953125,2.369751499965787
LDA,9,0.8953125,0.8953125,2.29657840001164
LDA,10,0.8953125,0.8953125,2.343262500013225
LDA,11,0.8953125,0.8953125,2.2367920000106096
LDA,12,0.8953125,0.8953125,2.461178999976255
LDA,13,0.8953125,0.8953125,2.6026411000057124
LDA,14,0.8953125,0.8953125,2.547923100006301
LDA,15,0.8953125,0.8953125,2.6172579000121914
LDA,16,0.8953125,0.8953125,2.411724800011143
LDA,17,0.8953125,0.8953125,2.5794375000405125
LDA,18,0.8953125,0.8953125,2.5099779999582097
LDA,19,0.8953125,0.8953125,2.7159302000072785
LDA,20,0.8953125,0.8953125,2.582376000005752
LDA,21,0.8953125,0.8953125,2.466048299975228
LDA,22,0.8953125,0.8953125,2.5477911999914795
LDA,23,0.8953125,0.8953125,2.558827700035181
LDA,24,0.8953125,0.8953125,2.409889500006102
LDA,25,0.8953125,0.8953125,2.591937599994708
LDA,26,0.8953125,0.8953125,2.489081099978648
LDA,27,0.8953125,0.8953125,2.2433482999913394
LDA,28,0.8953125,0.8953125,2.407792200043332
LDA,29,0.8953125,0.8953125,2.192010600003414
LDA,30,0.8953125,0.8953125,2.36756049998803
LDA,31,0.8953125,0.8953125,2.2211987000191584
LDA,32,0.8953125,0.8953125,2.414523599960376
LDA,33,0.8953125,0.8953125,2.449665300024208
LDA,34,0.8953125,0.8953125,2.5644411999965087
LDA,35,0.8953125,0.8953125,2.487159200012684
LDA,36,0.8953125,0.8953125,2.596679700014647
LDA,37,0.8953125,0.8953125,2.5421929999720305
LDA,38,0.8953125,0.8953125,3.233256599982269
LDA,39,0.8953125,0.8953125,3.156286099983845
LDA,40,0.8953125,0.8953125,2.902821200026665
LDA,41,0.8953125,0.8953125,3.268159400031436
LDA,42,0.8953125,0.8953125,3.1834682999760844
LDA,43,0.8953125,0.8953125,3.0382677000015974
LDA,44,0.8953125,0.8953125,3.082020600035321
LDA,45,0.8953125,0.8953125,2.579129300022032
LDA,46,0.8953125,0.8953125,2.7558184000081383
LDA,47,0.8953125,0.8953125,2.602234399993904
LDA,48,0.8953125,0.8953125,2.540551099984441
LDA,49,0.8953125,0.8953125,2.922056299983524
LDA,50,0.8953125,0.8953125,2.67813469999237
QDA,1,0.8663958333333334,0.8663958333333334,2.401171700039413
QDA,2,0.82775,0.8663958333333334,2.519700799952261
QDA,3,0.843625,0.8663958333333334,2.280459499976132
QDA,4,0.8516874999999999,0.8663958333333334,2.444573200016748
QDA,5,0.8862708333333332,0.8862708333333332,2.5298845999641344
QDA,6,0.8862708333333332,0.8862708333333332,2.3986511999974027
QDA,7,0.8978124999999999,0.8978124999999999,2.3612792999483645
QDA,8,0.8345625,0.8978124999999999,2.3223642999655567
QDA,9,0.8515208333333334,0.8978124999999999,2.293057399976533
QDA,10,0.8449791666666666,0.8978124999999999,2.4006002999958582
QDA,11,0.8976041666666668,0.8978124999999999,2.36326499999268
QDA,12,0.8909166666666666,0.8978124999999999,2.357563500001561
QDA,13,0.8929375,0.8978124999999999,2.1409013000084087
QDA,14,0.8702708333333333,0.8978124999999999,2.2715864999918267
QDA,15,0.8838541666666668,0.8978124999999999,2.218058300029952
QDA,16,0.8710833333333333,0.8978124999999999,2.220918599981814
QDA,17,0.89375,0.8978124999999999,2.323010300053284
QDA,18,0.8631666666666667,0.8978124999999999,2.3283584999735467
QDA,19,0.8771041666666667,0.8978124999999999,2.275567599979695
QDA,20,0.8789791666666666,0.8978124999999999,2.262572200037539
QDA,21,0.8577916666666667,0.8978124999999999,2.3357576000271365
QDA,22,0.8968541666666667,0.8978124999999999,2.4085086999693885
QDA,23,0.8960625,0.8978124999999999,2.573804099985864
QDA,24,0.8958958333333333,0.8978124999999999,2.26525480003329
QDA,25,0.8764375,0.8978124999999999,2.300515999959316
QDA,26,0.8940416666666667,0.8978124999999999,2.3693390000262298
QDA,27,0.8904375,0.8978124999999999,2.822626899986062
QDA,28,0.8814375,0.8978124999999999,2.3984809999819845
QDA,29,0.8981875,0.8981875,2.226001900038682
QDA,30,0.8654791666666666,0.8981875,3.1838213999872096
QDA,31,0.8742708333333333,0.8981875,3.2645771999959834
QDA,32,0.8965416666666666,0.8981875,2.642894000047818
QDA,33,0.8985208333333332,0.8985208333333332,2.565587899996899
QDA,34,0.888625,0.8985208333333332,2.5306957000284456
QDA,35,0.8984791666666668,0.8985208333333332,2.3674571000156
QDA,36,0.8834375,0.8985208333333332,2.2566908999579027
QDA,37,0.8902291666666666,0.8985208333333332,2.5186601000023074
QDA,38,0.8245625000000001,0.8985208333333332,2.331583800027147
QDA,39,0.8359583333333334,0.8985208333333332,2.6186820999719203
QDA,40,0.8985208333333334,0.8985208333333334,2.4857334999833256
QDA,41,0.8801041666666667,0.8985208333333334,2.9096567999804392
QDA,42,0.8989791666666666,0.8989791666666666,5.868641400011256
QDA,43,0.8871458333333333,0.8989791666666666,4.440769099979661
QDA,44,0.8988125,0.8989791666666666,2.572917099983897
QDA,45,0.898875,0.8989791666666666,2.489827499957755
QDA,46,0.8910208333333334,0.8989791666666666,2.381397799996193
QDA,47,0.8910625,0.8989791666666666,2.3159828999778256
