Model,Iteration,CV_Mean,Best_Score_So_Far,Iteration_Runtime_Sec
LGBM,1,0.9909375,0.9909375,23.387606300006155
LGBM,2,0.9815,0.9909375,20.144641200022303
LGBM,3,0.9949375,0.9949375,26.29397160001099
LGBM,4,0.9169791666666668,0.9949375,5.263391999993473
LGBM,5,0.9543125,0.9949375,5.139570100000128
LGBM,6,0.9802291666666664,0.9949375,17.422332699992694
LGBM,7,0.9944791666666668,0.9949375,25.06893479998689
LGBM,8,0.993125,0.9949375,29.13160640001297
LGBM,9,0.9465,0.9949375,8.465131099976134
LGBM,10,0.9901041666666666,0.9949375,6.248506000032648
LGBM,11,0.9909375,0.9949375,35.08817360003013
LGBM,12,0.9815,0.9949375,18.71727279998595
LGBM,13,0.9949375,0.9949375,23.586698499973863
LGBM,14,0.9169791666666668,0.9949375,6.003513300034683
LGBM,15,0.9543125,0.9949375,5.493449100002181
LGBM,16,0.9802291666666664,0.9949375,15.533356600033583
LGBM,17,0.9944791666666668,0.9949375,25.02459569997154
LGBM,18,0.993125,0.9949375,25.280784800008405
LGBM,19,0.9465,0.9949375,8.724925599992275
LGBM,20,0.9901041666666666,0.9949375,5.633469899999909
LGBM,21,0.9960833333333332,0.9965625,24.692178199999034
LGBM,22,0.9831458333333332,0.9965625,35.24140629998874
LGBM,23,0.9965625,0.9965625,22.190685399982613
LGBM,24,0.996375,0.9965625,21.079010999994352
LGBM,25,0.9821666666666664,0.9965625,9.592322400014382
LGBM,26,0.9944583333333334,0.9965625,13.435404899995774
LGBM,27,0.993375,0.9965625,36.29768189997412
LGBM,28,0.9960416666666668,0.9965625,24.83761270000832
LGBM,29,0.9927916666666666,0.9965625,23.597078300022982
LGBM,30,0.9633541666666666,0.9965625,12.633138199977113
LGBM,31,0.9925625,0.9971458333333334,18.014401800057385
LGBM,32,0.9968125,0.9971458333333334,18.42189050000161
LGBM,33,0.9945833333333332,0.9971458333333334,51.33476449997397
LGBM,34,0.9962916666666668,0.9971458333333334,22.950705700030085
LGBM,35,0.98975,0.9971458333333334,18.01172680000309
LGBM,36,0.9962708333333332,0.9971458333333334,28.569807199994106
LGBM,37,0.9677083333333332,0.9971458333333334,36.63119270000607
LGBM,38,0.9971458333333334,0.9971458333333334,22.937879300036
LGBM,39,0.9964166666666668,0.9971458333333334,24.57754369999748
LGBM,40,0.996,0.9971458333333334,23.71005429996876
LGBM,41,0.9967291666666668,0.9974166666666664,23.51744559995132
LGBM,42,0.9971875,0.9974166666666664,22.91614450002089
LGBM,43,0.996375,0.9974166666666664,26.18351740000071
LGBM,44,0.9974166666666664,0.9974166666666664,24.40956429997459
LGBM,45,0.996625,0.9974166666666664,18.9237147999811
LGBM,46,0.9971041666666668,0.9974166666666664,22.409718199982308
LGBM,47,0.9970208333333334,0.9974166666666664,24.375365899992172
LGBM,48,0.9971458333333334,0.9974166666666664,26.031490300025325
LGBM,49,0.9966458333333332,0.9974166666666664,28.64205480000237
LGBM,50,0.9955833333333336,0.9974166666666664,27.637583200004883
CB,1,0.9849375,0.9849375,61.59120909997728
CB,2,0.9835625,0.9849375,27.30166559998179
CB,3,0.989375,0.989375,28.645044400007464
CB,4,0.9895833333333334,0.9895833333333334,59.83226370002376
CB,5,0.9482916666666668,0.9895833333333334,46.0885227000108
CB,6,0.9905,0.9905,44.0626572999754
CB,7,0.9175625,0.9905,6.660882099997252
CB,8,0.9761875,0.9905,75.95738340000389
CB,9,0.9126041666666664,0.9905,33.9689768999815
CB,10,0.989125,0.9905,40.119361000019126
CB,11,0.9849375,0.9905,72.80226460000267
CB,12,0.9835625,0.9905,34.930913000018336
CB,13,0.989375,0.9905,38.4962067999877
CB,14,0.9895833333333334,0.9905,85.7074032999808
CB,15,0.9482916666666668,0.9905,43.33467109996127
CB,16,0.9905,0.9905,35.500995000009425
CB,17,0.9175625,0.9905,5.295655199966859
CB,18,0.9761875,0.9905,72.66878429998178
CB,19,0.9126041666666664,0.9905,32.37094309995882
CB,20,0.989125,0.9905,35.776160200010054
CB,21,0.98925,0.9931041666666668,57.20345889998134
CB,22,0.9873541666666668,0.9931041666666668,66.24047269998118
CB,23,0.9908541666666668,0.9931041666666668,43.21676199999638
CB,24,0.9738333333333332,0.9931041666666668,128.1540951000061
CB,25,0.98875,0.9931041666666668,61.40461420000065
CB,26,0.9833541666666668,0.9931041666666668,44.13888929999666
CB,27,0.9885,0.9931041666666668,34.31877140002325
CB,28,0.9913125,0.9931041666666668,69.10622269997839
CB,29,0.9931041666666668,0.9931041666666668,42.22161090001464
CB,30,0.9699166666666666,0.9931041666666668,60.663185100012925
CB,31,0.9928958333333332,0.9944375,86.445475000015
CB,32,0.9895208333333332,0.9944375,47.63096640002914
CB,33,0.9894166666666668,0.9944375,48.74011740001151
CB,34,0.986,0.9944375,71.12734760000603
CB,35,0.9944375,0.9944375,44.86555609997595
CB,36,0.9317916666666668,0.9944375,8.09117349999724
CB,37,0.9861458333333332,0.9944375,37.77417460002471
CB,38,0.9866458333333334,0.9944375,9.294816700043157
CB,39,0.9802083333333332,0.9944375,91.3678888999857
CB,40,0.9874583333333332,0.9944375,83.24809399998048
CB,41,0.9936666666666668,0.9944375,45.46591209998587
CB,42,0.99375,0.9944375,46.92652839998482
CB,43,0.9940208333333332,0.9944375,41.40429600002244
CB,44,0.9907916666666668,0.9944375,50.69394619995728
CB,45,0.9931041666666668,0.9944375,26.87947980000172
CB,46,0.9933125,0.9944375,92.16515880002407
CB,47,0.9928958333333334,0.9944375,27.85410310002044
CB,48,0.9912708333333332,0.9944375,52.29577779996907
CB,49,0.9928958333333334,0.9944375,46.09684329997981
CB,50,0.9933958333333331,0.9944375,44.46592350001447
LR,1,0.8972083333333334,0.8972083333333334,10.359904499986442
LR,2,0.8970625,0.8972083333333334,8.687849599999026
LR,3,0.8424375,0.8972083333333334,5.141470100003062
LR,4,0.8963541666666668,0.8972083333333334,7.924487700001919
LR,5,0.8540416666666666,0.8972083333333334,5.419211500004167
LR,6,0.8770208333333332,0.8972083333333334,5.023884900001576
LR,7,0.8946458333333333,0.8972083333333334,7.002789500009385
LR,8,0.8929166666666667,0.8972083333333334,7.890523000009125
LR,9,0.8958333333333333,0.8972083333333334,9.415464699995937
LR,10,0.8968333333333334,0.8972083333333334,8.281037699998706
LR,11,0.8972083333333334,0.8972083333333334,9.500107900006697
LR,12,0.8970625,0.8972083333333334,8.20660659999703
LR,13,0.8424375,0.8972083333333334,5.578286400006618
LR,14,0.8963541666666668,0.8972083333333334,10.822405900005833
LR,15,0.8540416666666666,0.8972083333333334,6.346415399995749
LR,16,0.8770208333333332,0.8972083333333334,4.827138199994806
LR,17,0.8946458333333333,0.8972083333333334,7.57161049998831
LR,18,0.8929166666666667,0.8972083333333334,10.443547100003343
LR,19,0.8958333333333333,0.8972083333333334,9.777301399997668
LR,20,0.8968333333333334,0.8972083333333334,8.540038100007223
LR,21,0.8964166666666668,0.89725,9.049463999996078
LR,22,0.8972291666666667,0.89725,8.606974399997853
LR,23,0.8428125,0.89725,4.898743199999444
LR,24,0.89725,0.89725,10.345549999998184
LR,25,0.89725,0.89725,10.175070600002073
LR,26,0.8972291666666667,0.89725,8.216411199988215
LR,27,0.8972291666666667,0.89725,9.51485120000143
LR,28,0.89725,0.89725,10.823946899996372
LR,29,0.8972083333333334,0.89725,9.343577099993126
LR,30,0.8964791666666667,0.89725,8.312703599993256
LR,31,0.8972916666666666,0.8972916666666666,8.751981099994737
LR,32,0.89725,0.8972916666666666,7.319032500003232
LR,33,0.89725,0.8972916666666666,7.402466400002595
LR,34,0.8972291666666667,0.8972916666666666,7.622313100000611
LR,35,0.89725,0.8972916666666666,7.5394833000027575
