Feature,Mean_Absolute_SHAP,Rank
tau2_g2,7.216117812152589,1
tau3_g3,7.172108080115894,2
tau4_g4,7.095325673860027,3
tau1_g1,5.493008236048175,4
tau3,4.613200355760254,5
tau4,4.483985922805837,6
tau2,4.455542786094497,7
tau1,4.173225311930339,8
g_sum,3.9728162584329056,9
tau_mean,3.5197585212781894,10
g1,1.4803864195418783,11
g_tau_ratio,0.8081745118683193,12
p1,0.4811371060179061,13
