ID,Feature_Set,Accuracy,Precision,Recall,F1,Kappa,MCC,AUC,LogLoss,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,AUC_CI_Lower,AUC_CI_Upper,LogLoss_CI_Lower,LogLoss_CI_Upper,Kappa_CI_Lower,Kappa_CI_Upper,MCC_CI_Lower,MCC_CI_Upper,Delta_Acc_vs_A
A,Raw(12)+Default,0.96025,0.9593090211132438,0.97923197492163,0.9691681210005817,0.913257902259659,0.913639893311067,0.9946066266109369,0.12900723377510784,0.95675,0.9636666666666667,0.9549533101118026,0.963549430758698,0.97587362880545,0.9824813026447742,0.9664340325073794,0.9718989895729615,0.9938304797679346,0.9953399673764027,0.12481135860636397,0.13308539329079144,0.9058753339076435,0.9206830830960243,0.9062453098168876,0.9210147358942686,0.0
B,Engineered(19)+Default,0.9743333333333334,0.9749224405377456,0.9851097178683386,0.979989604989605,0.9442116306433196,0.9443107762844929,0.9972444246234492,0.10172921863451002,0.9713333333333334,0.97725,0.9713385186106047,0.9782501002465345,0.9822169274061,0.9877732123039198,0.9776285887367586,0.9821789538641696,0.9967356784535417,0.9977337762294622,0.09795167964799058,0.10552679576176067,0.9378182582090487,0.9504666255543028,0.9379347076641309,0.9505393751763612,0.014083333333333337
F,Engineered(19)+TPE,0.99875,0.9985645308625865,0.9994775339602926,0.9990208238135648,0.9972929132801012,0.997293709093333,0.9999865594889646,0.003765295654630292,0.9980833333333333,0.9994166666666666,0.9976352971275039,0.99934828158119,0.9989473510966356,0.9998710887458615,0.9984920999147708,0.9995385340543431,0.9999704775384757,0.9999985883609839,0.002211479285269719,0.005600712655621746,0.9958462061583119,0.9987262880130907,0.9958481823630628,0.9987263144584327,0.03849999999999998
G,Engineered(19)+GWO,0.999,0.9988253719655442,0.9996081504702194,0.9992166079122601,0.9978344384915565,0.9978350234296842,0.9999976546759267,0.0023334018375836046,0.9984166666666666,0.9995,0.9980301841374973,0.9994797763038107,0.9990869902618886,1.0,0.9987607981141434,0.9996096342246945,0.9999947164451306,0.9999994913842772,0.0014621148596960078,0.0033608538235845,0.9965763985226134,0.99891754546182,0.9965777334550664,0.9989176104862433,0.03874999999999995
C,Selected(13)+Baseline,0.9710833333333332,0.9714875499935492,0.9835423197492164,0.9774777698448756,0.93710035158547,0.9372393268165008,0.9968974068653768,0.1069197466316111,0.968,0.9740020833333332,0.967811710553702,0.9750139090014982,0.980561611286515,0.9863431783067528,0.975022645003436,0.9797812688260852,0.9963676631146836,0.9973965420924648,0.1031430279805926,0.1107097293353129,0.930425260533246,0.9436762617369264,0.9306078522427096,0.9437685090295426,0.01083333333333314
D,Selected(13)+TPE,0.9995,0.9994776704100288,0.9997387669801464,0.9996082016455532,0.9989174349270136,0.9989174999647102,0.9999972637885812,0.0021553562700576,0.9990833333333332,0.9998333333333334,0.9989491624491916,0.9998703659891678,0.9993419169165464,1.0,0.999278546599331,0.9998703832118212,0.9999936895372435,0.9999997597412048,0.001323136578454,0.0031492348934076,0.998013406184734,0.9996410451902568,0.9980136143190816,0.9996411095914154,0.03925000000000001
E,Selected(13)+GWO,0.999,0.9988253719655442,0.9996081504702194,0.99921660791226,0.9978344384915564,0.9978350234296842,0.999996121194802,0.0027360925547528,0.9984166666666666,0.9995,0.9980348100347716,0.9994809929899486,0.9990872343199896,1.0,0.9987562962497136,0.9996109529649612,0.9999919226494116,0.9999991328284918,0.0016882264179224,0.0039339446405911,0.9965705512269488,0.9989268042231632,0.9965709961471254,0.9989270600947496,0.03874999999999995
