Family,Model,Baseline_Accuracy,TPE_Accuracy,GWO_Accuracy,Delta_TPE_minus_GWO,Abs_Delta_TPE_GWO
Tree-Ensemble,AdaBoost,0.8935,0.9506666666666668,0.9399166666666666,0.010750000000000148,0.010750000000000148
Linear,SGD,0.8955833333333333,0.9028333333333334,0.9013333333333332,0.0015000000000001679,0.0015000000000001679
Probabilistic,QDA,0.9015833333333332,0.9059166666666668,0.9051666666666668,0.0007500000000000284,0.0007500000000000284
Distance,KNN,0.9394166666666668,0.9541666666666668,0.9543333333333334,-0.0001666666666665373,0.0001666666666665373
