Method,Train_OOF_Accuracy,Test_Accuracy,Generalization_Gap,Test_AUC,Test_F1
Baseline,0.96775,0.9710833333333332,-0.0033333333333331883,0.9968974068653768,0.9774777698448756
TPE,0.9976875,0.9995,-0.0018125000000001057,0.9999972637885812,0.9996082016455532
GWO,0.9974166666666666,0.999,-0.001583333333333381,0.999996121194802,0.99921660791226
