Model,Iteration,CV_Mean,Best_Score_So_Far,Iteration_Runtime_Sec
AdaBoost,1,0.8785208333333333,0.8785208333333333,73.39541070000269
AdaBoost,2,0.8550208333333333,0.8785208333333333,82.67589149996638
AdaBoost,3,0.8948541666666667,0.8948541666666667,18.523208900005557
AdaBoost,4,0.875,0.8948541666666667,79.1856289000134
AdaBoost,5,0.9184583333333333,0.9184583333333333,42.566112800035626
AdaBoost,6,0.8663125,0.9184583333333333,12.95815840002615
AdaBoost,7,0.9057499999999999,0.9184583333333333,66.11726969998563
AdaBoost,8,0.952,0.952,75.84217910002917
AdaBoost,9,0.8522708333333334,0.952,45.979564899986144
AdaBoost,10,0.8550208333333333,0.952,66.0958004000131
AdaBoost,11,0.8451875000000001,0.952,90.36907499999506
AdaBoost,12,0.7262083333333335,0.952,92.73582289996557
AdaBoost,13,0.9100416666666667,0.952,88.72366100002546
AdaBoost,14,0.8710000000000001,0.952,27.547226900001988
AdaBoost,15,0.9120000000000001,0.952,83.25315900001442
AdaBoost,16,0.7219791666666666,0.952,64.9308607999701
AdaBoost,17,0.9020833333333332,0.952,14.890141599986237
AdaBoost,18,0.8866875000000001,0.952,82.38649770000484
AdaBoost,19,0.7262083333333335,0.952,108.94158539996715
AdaBoost,20,0.9187916666666667,0.952,88.1006153000053
AdaBoost,21,0.7318958333333334,0.952,86.20306949998485
AdaBoost,22,0.9128125,0.952,66.18615690001752
AdaBoost,23,0.7318958333333334,0.952,61.628374100022484
AdaBoost,24,0.727375,0.952,21.329139599984046
AdaBoost,25,0.7321875,0.952,63.29880879999837
AdaBoost,26,0.7245208333333333,0.952,71.08952519996092
AdaBoost,27,0.7327083333333333,0.952,84.71412560000317
AdaBoost,28,0.9012083333333333,0.952,46.96755449997727
AdaBoost,29,0.944625,0.952,74.5939443000243
AdaBoost,30,0.7204583333333332,0.952,48.345311300014146
AdaBoost,31,0.9183333333333333,0.952,82.22249260003446
AdaBoost,32,0.7246041666666667,0.952,65.86154710000847
AdaBoost,33,0.9185000000000001,0.952,83.6863822999876
AdaBoost,34,0.9277708333333334,0.952,72.9659427999868
AdaBoost,35,0.9245416666666667,0.952,74.44648909999523
AdaBoost,36,0.9308541666666666,0.952,64.6468171000015
AdaBoost,37,0.9415208333333334,0.952,86.35911720001604
AdaBoost,38,0.9126041666666665,0.952,59.540054099983536
AdaBoost,39,0.9172916666666666,0.952,86.19457940000575
AdaBoost,40,0.9208125,0.952,44.466285500035156
AdaBoost,41,0.9204791666666667,0.952,80.63970590004465
AdaBoost,42,0.92175,0.952,66.1665071999887
AdaBoost,43,0.9421666666666667,0.952,66.56496009998955
AdaBoost,44,0.9162083333333333,0.952,73.84343910001917
AdaBoost,45,0.9510416666666668,0.952,78.92456760001369
AdaBoost,46,0.9448333333333334,0.952,65.0685581000289
AdaBoost,47,0.921375,0.952,83.64173630002188
AdaBoost,48,0.7325,0.952,75.58934219996445
AdaBoost,49,0.7326041666666666,0.952,79.10484119999455
AdaBoost,50,0.9147916666666667,0.952,68.27612220001174
CB,1,0.9789583333333333,0.9789583333333333,26.145356099994387
CB,2,0.9851041666666667,0.9851041666666667,9.17846590001136
CB,3,0.9215,0.9851041666666667,4.090816000010818
CB,4,0.9921875,0.9921875,12.069379499997012
CB,5,0.9661666666666667,0.9921875,2.156145600019954
CB,6,0.966625,0.9921875,7.909215099993162
CB,7,0.9911249999999999,0.9921875,11.069549600011669
CB,8,0.9866458333333332,0.9921875,25.208101299998816
CB,9,0.9417708333333333,0.9921875,1.3107645999989472
CB,10,0.9723958333333333,0.9921875,12.394345999986399
CB,11,0.9813541666666665,0.9921875,31.54430660000071
CB,12,0.9855416666666666,0.9921875,10.882650899991859
CB,13,0.9890208333333333,0.9921875,10.443287100002635
CB,14,0.9855416666666666,0.9921875,11.564625900005922
CB,15,0.9948750000000001,0.9948750000000001,22.192658699990716
CB,16,0.9836041666666666,0.9948750000000001,11.890234000049531
CB,17,0.9797291666666667,0.9948750000000001,9.993934499972966
CB,18,0.9864166666666667,0.9948750000000001,4.740162300004158
CB,19,0.9926875000000001,0.9948750000000001,13.074072999996133
CB,20,0.9933333333333334,0.9948750000000001,13.278079400013667
CB,21,0.9840625,0.9948750000000001,18.130997699976433
CB,22,0.9875625000000001,0.9948750000000001,9.520259400014766
CB,23,0.9869375,0.9948750000000001,10.347730100038461
CB,24,0.9778333333333334,0.9948750000000001,5.201648699992802
CB,25,0.9765416666666666,0.9948750000000001,3.7567352000041865
CB,26,0.9908125,0.9948750000000001,14.546954899968114
CB,27,0.9899583333333334,0.9948750000000001,63.39034550002543
CB,28,0.992625,0.9948750000000001,17.885455399984494
CB,29,0.9935,0.9948750000000001,36.13651219999883
CB,30,0.9954791666666667,0.9954791666666667,30.49557360005565
CB,31,0.9942083333333332,0.9954791666666667,22.779206299979705
CB,32,0.9939583333333333,0.9954791666666667,29.73003299999982
CB,33,0.993125,0.9954791666666667,16.31375129998196
CB,34,0.9943333333333333,0.9954791666666667,39.62321210000664
CB,35,0.9920625,0.9954791666666667,26.654240700008813
CB,36,0.994125,0.9954791666666667,23.85758429998532
CB,37,0.993625,0.9954791666666667,23.641086900024675
CB,38,0.992,0.9954791666666667,21.24753440002678
CB,39,0.9894166666666667,0.9954791666666667,19.71579600003315
CB,40,0.9945,0.9954791666666667,33.6920395999914
CB,41,0.9943958333333335,0.9954791666666667,35.250771999999415
CB,42,0.9945208333333333,0.9954791666666667,39.935340699972585
CB,43,0.9945416666666667,0.9954791666666667,29.479930999979842
CB,44,0.99475,0.9954791666666667,37.008804099983536
CB,45,0.9946458333333335,0.9954791666666667,33.58605709997937
CB,46,0.9943333333333333,0.9954791666666667,44.68866829999024
CB,47,0.9940416666666667,0.9954791666666667,44.49801199999638
CB,48,0.9949166666666667,0.9954791666666667,34.89561589999357
CB,49,0.9946875000000001,0.9954791666666667,35.40515140001662
CB,50,0.9951458333333335,0.9954791666666667,37.368268899968825
GB,1,0.9878750000000001,0.9878750000000001,164.4963155000005
GB,2,0.9863333333333333,0.9878750000000001,338.3765023999731
GB,3,0.9893958333333334,0.9893958333333334,403.7791861000005
GB,4,0.9879791666666666,0.9893958333333334,286.9487481000251
GB,5,0.9856666666666667,0.9893958333333334,187.92729909997433
GB,6,0.9875625000000001,0.9893958333333334,260.4617976999725
GB,7,0.9870833333333333,0.9893958333333334,494.0241698999889
GB,8,0.9925416666666667,0.9925416666666667,234.6027291000355
GB,9,0.9950624999999998,0.9950624999999998,375.10503090004204
GB,10,0.9858333333333332,0.9950624999999998,156.54591990000335
GB,11,0.9876666666666667,0.9950624999999998,305.12760339997476
GB,12,0.9889374999999999,0.9950624999999998,242.11122119997162
GB,13,0.9888958333333333,0.9950624999999998,340.22935350000625
GB,14,0.9807708333333334,0.9950624999999998,52.74988699995447
GB,15,0.9905208333333334,0.9950624999999998,258.0302115000086
GB,16,0.9875416666666667,0.9950624999999998,268.3946724999696
GB,17,0.9851458333333334,0.9950624999999998,178.4723904999555
GB,18,0.9791666666666666,0.9950624999999998,167.27854019997176
GB,19,0.9937916666666669,0.9950624999999998,387.1783702999819
GB,20,0.9938125000000001,0.9950624999999998,238.87139240000397
GB,21,0.9895208333333333,0.9950624999999998,295.6933282999671
GB,22,0.9882291666666667,0.9950624999999998,114.26976060000015
GB,23,0.9886874999999999,0.9950624999999998,259.593637700018
GB,24,0.9953958333333333,0.9953958333333333,338.57926480000606
GB,25,0.9904166666666667,0.9953958333333333,176.4454949000501
GB,26,0.9941875,0.9953958333333333,297.9492461999762
GB,27,0.9915208333333332,0.9953958333333333,244.08089939999627
GB,28,0.9912708333333333,0.9953958333333333,141.16766980005195
GB,29,0.9947291666666667,0.9953958333333333,467.98081889998866
GB,30,0.9932291666666668,0.9953958333333333,302.23024540004553
GB,31,0.9953541666666667,0.9953958333333333,391.319173099997
GB,32,0.9962708333333333,0.9962708333333333,365.9688084999798
GB,33,0.9937083333333334,0.9962708333333333,426.2661265999777
GB,34,0.9952708333333333,0.9962708333333333,285.4489059000043
GB,35,0.9958333333333332,0.9962708333333333,328.4776656999602
GB,36,0.9945833333333333,0.9962708333333333,311.9933406999917
GB,37,0.9942500000000001,0.9962708333333333,365.60015670000575
GB,38,0.9939583333333333,0.9962708333333333,276.002816000022
GB,39,0.9948125000000001,0.9962708333333333,422.14999459998216
GB,40,0.9956666666666667,0.9962708333333333,409.26404249999905
GB,41,0.9954374999999999,0.9962708333333333,316.2324660999584
GB,42,0.9965416666666667,0.9965416666666667,368.9183589000022
