Comparison,Metric,Mean_Improvement_pct,Median_Improvement_pct,Std_Improvement_pct,Min_Improvement_pct,Max_Improvement_pct,Models_Improved,Models_Worsened
TPE vs Baseline,Accuracy,1.6160499908654826,0.4796729604057284,2.4543312535497366,0.0,7.80926675663518,11,0
GWO vs Baseline,Accuracy,1.5920008322680819,0.4939360706038126,2.464556418518999,-0.06879944960439559,7.656320287899231,10,2
GWO vs TPE,Accuracy,-0.02386107169282988,0.0,0.10185230279910987,-0.2214430706772469,0.15795015795016393,4,6
TPE vs Baseline,Precision,1.348037005270225,0.3521564023422675,2.401643836545515,-1.0558629814469433,7.533087513809283,10,1
GWO vs Baseline,Precision,1.322693877743731,0.3128024125574624,2.4448622935415356,-1.1071403084295364,7.392660762402849,8,4
GWO vs TPE,Precision,-0.025830350599801516,0.0,0.16708355246000983,-0.45882891611685245,0.26982872402869124,6,6
TPE vs Baseline,Recall,1.1327743490735223,0.6537236218704932,1.4118558141320547,0.0,4.29389312977099,11,0
GWO vs Baseline,Recall,1.1253245029611336,0.7262867916077204,1.3879084082873099,-0.013970382788499857,4.198473282442761,11,1
GWO vs TPE,Recall,-0.007048984944101386,-0.020052938589411852,0.06849272825763089,-0.0914913083256952,0.1823793490460102,3,9
TPE vs Baseline,F1,1.237291883333328,0.43078052416704105,1.8446691199997474,0.0,5.914230394924411,11,0
GWO vs Baseline,F1,1.2204917408952636,0.4435338074419999,1.8497643792199288,-0.050130933654399974,5.796609375731755,10,2
GWO vs TPE,F1,-0.016663368312604367,-0.0005222903468610463,0.07351298133782423,-0.14408729470326842,0.11539863749152258,4,8
TPE vs Baseline,AUC,0.5803242978803057,0.11531568549532309,0.9605344878452217,0.0,3.2862404226818818,11,0
GWO vs Baseline,AUC,0.57376462067605,0.11035255282499667,0.969025000160094,-0.02620366641265915,3.3125052180416334,10,1
GWO vs TPE,AUC,-0.00612403240763901,-2.6387299058429056e-05,0.029088809353864188,-0.07990114737787483,0.04098782423798537,5,7
TPE vs Baseline,LogLoss,32.107743201951415,7.936958841041259,40.15079057291419,-20.09953330931413,96.05219932211058,10,3
GWO vs Baseline,LogLoss,31.75284977587281,9.597932516003596,40.66333200611636,-21.571387695010316,97.22261308587937,11,2
GWO vs TPE,LogLoss,3.129230263915557,1.3032501118294768e-13,15.110842011935828,-24.015587837967285,41.394399562297735,7,6
TPE vs Baseline,Kappa,3.883123840669669,0.9674709758805481,6.083852131148722,0.0,18.913730988505055,11,0
GWO vs Baseline,Kappa,3.8205681624040864,1.0682328837271164,6.12121864416766,-0.16252782126550536,18.54766775812516,10,2
GWO vs TPE,Kappa,-0.06200320760795021,0.0,0.2517341522079275,-0.6198937611601443,0.3807670015896503,6,6
TPE vs Baseline,MCC,3.8903368901341397,1.1169209496144763,6.035963080807681,0.0,18.79472021019304,11,0
GWO vs Baseline,MCC,3.82910304476427,1.138151052789488,6.0708498971821605,-0.153853648362146,18.429121760094105,10,2
GWO vs TPE,MCC,-0.06059582638789411,0.0,0.24643669267553217,-0.5982668913120627,0.3739341836073177,6,6
