Method,Model,Optimal_Scaler,Split,Accuracy,Precision,Recall,F1,Kappa,MCC,AUC,LogLoss,Accuracy_CI_Lower,Accuracy_CI_Upper,Precision_CI_Lower,Precision_CI_Upper,Recall_CI_Lower,Recall_CI_Upper,F1_CI_Lower,F1_CI_Upper,AUC_CI_Lower,AUC_CI_Upper,LogLoss_CI_Lower,LogLoss_CI_Upper,Kappa_CI_Lower,Kappa_CI_Upper,MCC_CI_Lower,MCC_CI_Upper
GWO,LGBM,Raw,Train_OOF,0.9974166666666666,0.9974880929079403,0.9984652560083594,0.9979764352622474,0.9944052147729763,0.9944061257343704,0.9999305329291919,0.00814630575575977,0.9969583333333333,0.9978541666666667,0.996929193237642,0.9980109090164929,0.998018759673009,0.9988632717960763,0.9976051025915309,0.9983160868473683,0.9998946634305874,0.9999604041995839,0.006803608212226493,0.009586986443884891,0.9933970225900047,0.9953463583218308,0.9933983356855481,0.9953478723562154
GWO,CB,MinMax,Train_OOF,0.9944375,0.9947198591962453,0.9965713166144201,0.9956447271837534,0.987949112215159,0.9879523816448997,0.9997730184837996,0.026526802917520978,0.9937291666666667,0.9950625,0.9938786124296454,0.9954895952675522,0.9958634414500023,0.9972003613414799,0.9950741466469939,0.9961349441534383,0.9997074105956285,0.999831063169684,0.025445079649693173,0.02772142162449645,0.9863973085496466,0.9893004177773107,0.9864023722382054,0.9893016582697832
