Metric,LightGBM-GWO (95% CI),Mean,CI_Lower,CI_Upper
Accuracy,0.9991 [0.9985–0.9996],0.9990858166666667,0.9985,0.9995833333333334
Precision,0.9992 [0.9986–0.9997],0.9992151385717903,0.998555292881534,0.9997399557924848
Recall,0.9994 [0.9987–0.9999],0.9993520613703684,0.9987033110929924,0.9998693152117094
F1-Score,0.9993 [0.9988–0.9997],0.9992835489490488,0.9988329837682709,0.9996745861548082
MCC,0.9980 [0.9968–0.9991],0.9980207895764838,0.9967678875893469,0.9990979661349983
AUC,1.0000 [1.0000–1.0000],0.9999954137825523,0.9999909171464005,0.9999986181732675
LogLoss,0.0030 [0.0019–0.0042],0.0029638578394779428,0.001916744039924018,0.00417941960181303
Kappa,0.9980 [0.9968–0.9991],0.9980205952140803,0.9967678233103298,0.9990978197598887
